path,url,type,expected_content,indexable_expected,status,ok,content_type,html_like,xml_like,json_like,body_length,blank_like,final_url,error
/states/pr/pega-4/dia,https://winningnumbers.us/states/pr/pega-4/dia,session,html,true,200,true,text/html; charset=utf-8,true,false,false,223082,false,https://winningnumbers.us/states/pr/pega-4/dia,
/states/pr/pega-4/historical,https://winningnumbers.us/states/pr/pega-4/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74698,false,https://winningnumbers.us/states/pr/pega-4/historical,
/states/pr/pega-4/noche,https://winningnumbers.us/states/pr/pega-4/noche,session,html,true,200,true,text/html; charset=utf-8,true,false,false,224055,false,https://winningnumbers.us/states/pr/pega-4/noche,
/states/pr/pega-4/stats,https://winningnumbers.us/states/pr/pega-4/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,123894,false,https://winningnumbers.us/states/pr/pega-4/stats,
/states/pr/powerball,https://winningnumbers.us/states/pr/powerball,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,214858,false,https://winningnumbers.us/states/pr/powerball,
/states/pr/powerball-double-play,https://winningnumbers.us/states/pr/powerball-double-play,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,235472,false,https://winningnumbers.us/states/pr/powerball-double-play,
/states/pr/powerball-double-play/historical,https://winningnumbers.us/states/pr/powerball-double-play/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,75003,false,https://winningnumbers.us/states/pr/powerball-double-play/historical,
/states/pr/powerball-double-play/stats,https://winningnumbers.us/states/pr/powerball-double-play/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,122059,false,https://winningnumbers.us/states/pr/powerball-double-play/stats,
/states/pr/powerball/historical,https://winningnumbers.us/states/pr/powerball/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74760,false,https://winningnumbers.us/states/pr/powerball/historical,
/states/pr/powerball/stats,https://winningnumbers.us/states/pr/powerball/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,126138,false,https://winningnumbers.us/states/pr/powerball/stats,
/states/pr/revancha,https://winningnumbers.us/states/pr/revancha,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,217137,false,https://winningnumbers.us/states/pr/revancha,
/states/pr/revancha/historical,https://winningnumbers.us/states/pr/revancha/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74741,false,https://winningnumbers.us/states/pr/revancha/historical,
/states/pr/revancha/stats,https://winningnumbers.us/states/pr/revancha/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,125378,false,https://winningnumbers.us/states/pr/revancha/stats,
/states/ri,https://winningnumbers.us/states/ri,state,html,true,200,true,text/html; charset=utf-8,true,false,false,187387,false,https://winningnumbers.us/states/ri,
/states/ri/mega-millions,https://winningnumbers.us/states/ri/mega-millions,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,232818,false,https://winningnumbers.us/states/ri/mega-millions,
/states/ri/mega-millions/historical,https://winningnumbers.us/states/ri/mega-millions/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74845,false,https://winningnumbers.us/states/ri/mega-millions/historical,
/states/ri/mega-millions/stats,https://winningnumbers.us/states/ri/mega-millions/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,120822,false,https://winningnumbers.us/states/ri/mega-millions/stats,
/states/ri/millionaire-for-life,https://winningnumbers.us/states/ri/millionaire-for-life,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,235288,false,https://winningnumbers.us/states/ri/millionaire-for-life,
/states/ri/millionaire-for-life/historical,https://winningnumbers.us/states/ri/millionaire-for-life/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74991,false,https://winningnumbers.us/states/ri/millionaire-for-life/historical,
/states/ri/millionaire-for-life/stats,https://winningnumbers.us/states/ri/millionaire-for-life/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,131645,false,https://winningnumbers.us/states/ri/millionaire-for-life/stats,
/states/ri/numbers-game,https://winningnumbers.us/states/ri/numbers-game,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,238475,false,https://winningnumbers.us/states/ri/numbers-game,
/states/ri/numbers-game/evening,https://winningnumbers.us/states/ri/numbers-game/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,199582,false,https://winningnumbers.us/states/ri/numbers-game/evening,
/states/ri/numbers-game/historical,https://winningnumbers.us/states/ri/numbers-game/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74823,false,https://winningnumbers.us/states/ri/numbers-game/historical,
/states/ri/numbers-game/midday,https://winningnumbers.us/states/ri/numbers-game/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,199509,false,https://winningnumbers.us/states/ri/numbers-game/midday,
/states/ri/numbers-game/stats,https://winningnumbers.us/states/ri/numbers-game/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,112904,false,https://winningnumbers.us/states/ri/numbers-game/stats,
/states/ri/powerball,https://winningnumbers.us/states/ri/powerball,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,242090,false,https://winningnumbers.us/states/ri/powerball,
/states/ri/powerball/historical,https://winningnumbers.us/states/ri/powerball/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74760,false,https://winningnumbers.us/states/ri/powerball/historical,
/states/ri/powerball/stats,https://winningnumbers.us/states/ri/powerball/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,120822,false,https://winningnumbers.us/states/ri/powerball/stats,
/states/ri/wild-money,https://winningnumbers.us/states/ri/wild-money,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,226027,false,https://winningnumbers.us/states/ri/wild-money,
/states/ri/wild-money/historical,https://winningnumbers.us/states/ri/wild-money/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74782,false,https://winningnumbers.us/states/ri/wild-money/historical,
/states/ri/wild-money/stats,https://winningnumbers.us/states/ri/wild-money/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,121677,false,https://winningnumbers.us/states/ri/wild-money/stats,
/states/sc,https://winningnumbers.us/states/sc,state,html,true,200,true,text/html; charset=utf-8,true,false,false,233754,false,https://winningnumbers.us/states/sc,
/states/sc/cash-pop,https://winningnumbers.us/states/sc/cash-pop,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,191415,false,https://winningnumbers.us/states/sc/cash-pop,
/states/sc/cash-pop/evening,https://winningnumbers.us/states/sc/cash-pop/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,157253,false,https://winningnumbers.us/states/sc/cash-pop/evening,
/states/sc/cash-pop/historical,https://winningnumbers.us/states/sc/cash-pop/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74738,false,https://winningnumbers.us/states/sc/cash-pop/historical,
/states/sc/cash-pop/midday,https://winningnumbers.us/states/sc/cash-pop/midday,session,html,true,200,true,text/html; charset=utf-8,true,false,false,157226,false,https://winningnumbers.us/states/sc/cash-pop/midday,
/states/sc/cash-pop/stats,https://winningnumbers.us/states/sc/cash-pop/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,106857,false,https://winningnumbers.us/states/sc/cash-pop/stats,
/states/sc/mega-millions,https://winningnumbers.us/states/sc/mega-millions,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,204864,false,https://winningnumbers.us/states/sc/mega-millions,
/states/sc/mega-millions/historical,https://winningnumbers.us/states/sc/mega-millions/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74845,false,https://winningnumbers.us/states/sc/mega-millions/historical,
/states/sc/mega-millions/stats,https://winningnumbers.us/states/sc/mega-millions/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,124145,false,https://winningnumbers.us/states/sc/mega-millions/stats,
/states/sc/palmetto-cash-5,https://winningnumbers.us/states/sc/palmetto-cash-5,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,214697,false,https://winningnumbers.us/states/sc/palmetto-cash-5,
/states/sc/palmetto-cash-5/historical,https://winningnumbers.us/states/sc/palmetto-cash-5/historical,historical,html,true,200,true,text/html; charset=utf-8,true,false,false,74886,false,https://winningnumbers.us/states/sc/palmetto-cash-5/historical,
/states/sc/palmetto-cash-5/stats,https://winningnumbers.us/states/sc/palmetto-cash-5/stats,stats,html,true,200,true,text/html; charset=utf-8,true,false,false,112958,false,https://winningnumbers.us/states/sc/palmetto-cash-5/stats,
/states/sc/pick-3,https://winningnumbers.us/states/sc/pick-3,game_family,html,true,200,true,text/html; charset=utf-8,true,false,false,225084,false,https://winningnumbers.us/states/sc/pick-3,
/states/sc/pick-3/evening,https://winningnumbers.us/states/sc/pick-3/evening,session,html,true,200,true,text/html; charset=utf-8,true,false,false,190053,false,https://winningnumbers.us/states/sc/pick-3/evening,
